,Tweets,id,len,date,source,likes,retweets
91,#WaterfallWednesday takes us to Mouse Creek Falls in the Big Creek area of the park. Mouse Creek Falls is 2.1 miles… https://t.co/KJf8OB5h8K,1255546275572916225,140,2020-04-29 17:15:33,Twitter for iPhone,699,102
92,"Many of you were right on the mark! The answer to this weeks question goes: Clingman's Dome (6,643 ft), Mt. Guyot (… https://t.co/dzRs2FvM0R",1255466674016456704,140,2020-04-29 11:59:15,Twitter Web App,16,0
93,"@PatrickHawkins3 Hi Patrick, at this time, the park remains closed until further notice. We will continue to assess… https://t.co/Zw3DhPGQAr",1255150783701618689,140,2020-04-28 15:04:01,Twitter Web App,7,0
94,#TriviaTuesday ! Great Smoky Mountains National Park is known for its signature mountain peaks clouded in fog. Whet… https://t.co/gN3HyANjdG,1255135477939662851,140,2020-04-28 14:03:11,Twitter Web App,145,9
95,We have had so much fun reading your #SmokiesMemories for National Park Week! Thank you for sharing the memories of… https://t.co/6xkFKQliM8,1254786629790621699,140,2020-04-27 14:57:00,Twitter for Android,73,7
96,Happy #SunriseSunday! Check out our final #SmokiesMemories post at https://t.co/1BCBnS09tZ https://t.co/FL642GUqJk,1254393038799097859,114,2020-04-26 12:53:00,Twitter Web App,185,17
97,"""This picture is not just an image, but a milestone that points in two directions: to the past it stands as a goalp… https://t.co/9w0ES3AwFy",1254110683567984641,140,2020-04-25 18:11:01,Twitter Web App,191,22
98,We invite you to take a moment today to reflect on a recent outdoor experience that brought you a sense of peace or… https://t.co/7cEkBfBa8q,1254048188417351681,140,2020-04-25 14:02:41,Twitter Web App,248,26
99,"While we can't be with our friends in the park today, we are celebrating your stories of friendships made in the Sm… https://t.co/1JMKkKbYwK",1253672598694756357,140,2020-04-24 13:10:14,Twitter Web App,115,9
100,@Ambeeezey Thank you for asking! The park is actively working on a phased reopening plan. We do not have a specific… https://t.co/q2SL71AISq,1253394881294348288,140,2020-04-23 18:46:41,Twitter Web App,0,0
101,Our rangers have tons of beloved #SmokiesMemories as well! Check out this post to read one from our Ranger Jevin:… https://t.co/J2y1fKpWsp,1253390367669567488,138,2020-04-23 18:28:45,Twitter Web App,71,3
102,"It's a special #NationalParkWeek #ThrowbackThursday!

Full post: https://t.co/bCWTQENa2B

Follow along all week as… https://t.co/H0lQokIW6q",1253319453921738752,139,2020-04-23 13:46:58,Twitter Web App,51,5
103,"Today is the 50th anniversary of Earth Day!

This #EarthDay let us take a moment to appreciate and protect the uniq… https://t.co/VXMVmTP25X",1253002557083070465,140,2020-04-22 16:47:43,Twitter for iPhone,131,19
104,@jimragtop We will notify the public when park operations resume through our website at https://t.co/O5nkeyCsjA.,1252939101944401922,112,2020-04-22 12:35:35,Twitter Web App,1,0
105,"@jimragtop At this time, the current park closure is likely to last through at least April 30. We will continue to… https://t.co/sL5wMZkbhu",1252939054867460097,139,2020-04-22 12:35:23,Twitter Web App,4,1
106,"This #TrailsTuesday, we bring you a sweet mountain-top moment, captured by a stranger, now forever...
Full post:… https://t.co/QRr466qyLh",1252658906121359360,137,2020-04-21 18:02:11,Twitter Web App,83,10
107,"We know many people miss traveling right now. So today, in honor of #NationalParkWeek, we are inviting you to a vir… https://t.co/puBTpjXsAC",1252583991129133061,140,2020-04-21 13:04:30,Twitter for Android,599,100
108,"@eaj76 Good morning! We are closed until further notice, at least through April 30th, as stated in our latest press… https://t.co/wQB6mtfgU9",1252576333642825730,140,2020-04-21 12:34:04,Twitter for Android,13,2
109,@DonaldDobbins10 Good morning! All sections are open. Thanks for checking.,1252572643561218059,74,2020-04-21 12:19:24,Twitter for Android,9,1
110,Welcome to #NationalParkWeek's edition of #MammalCrushMonday! Today we are featuring one of the most iconic symbols… https://t.co/zEWDldYiPf,1252240832687738880,140,2020-04-20 14:20:54,Twitter for Android,328,58
111,"A big THANK YOU to Great Smoky Mountains National Park's nearly 4000 volunteers. Today, we invite you to share a me… https://t.co/isRYj4pV1S",1251854450886467586,140,2020-04-19 12:45:34,Twitter Web App,142,18
112,Join us this week as we celebrate #NationalParkWeek with the #SmokiesMemories that you have shared with us and with… https://t.co/omCmaFHSD9,1251580672831094784,140,2020-04-18 18:37:40,Twitter Web App,12,1
113,"Today is #JuniorRangerDay! While the park is closed, Smokies Junior Ranger booklets and other activities are going… https://t.co/HvSkRxJ4GJ",1251580669605617669,139,2020-04-18 18:37:39,Twitter Web App,35,7
114,"Check out https://t.co/IoM0Eoas1E, a website for parents and teachers to connect kids to the Smokies through online… https://t.co/XptqpLqlRk",1251138204234899457,140,2020-04-17 13:19:27,Twitter Web App,31,7
115,"@knicksmom Good morning, yes, Newfound Gap Road remains closed until further notice as part of the parkwide closure.",1251127917255495681,116,2020-04-17 12:38:34,Twitter Web App,2,0
116,"This little spot is just the purrrrfect size for this kitten! The small opening pictured here, called a ""cat hole,""… https://t.co/s4D8Nuldax",1250783434399780864,140,2020-04-16 13:49:43,Twitter Web App,108,14
117,"#Windsday
 
NPS/Kahawis; Video Description: Time-lapsed dash cam recording of clouds rolling by at Newfound Gap par… https://t.co/OSaoE12B98",1250473461996113920,140,2020-04-15 17:18:00,Twitter for iPhone,122,16
118,"@smajor1012 Hi Scott, as of the moment, the park is closed until further notice. No time frame has been decided as… https://t.co/RyrssCMHnK",1250424613282050049,139,2020-04-15 14:03:54,Twitter Web App,4,0
119,This week was a very tough trivia question but a few people got it right! The correct answer is Midnight Hole Falls… https://t.co/j5bwOyyB1F,1250155320095182855,140,2020-04-14 20:13:49,Twitter Web App,22,1
120,"It's Trivia Tuesday! With all of the rain, our waterfalls are roaring. Our Trivia Question: From the official park… https://t.co/FBnl1uJQ4A",1250063608144420868,139,2020-04-14 14:09:23,Twitter Web App,200,18
121,"@SBFamilyTravels Hi! Great question. Park managers are working with local, state, and national public health adviso… https://t.co/zaszWPRKa8",1249759943118503946,140,2020-04-13 18:02:44,Twitter for Android,5,0
122,Looking for something to do today besides eat all your snacks and binge your favorite show? Consider exploring the… https://t.co/JikOgsZ35n,1249698852548030464,139,2020-04-13 13:59:59,Twitter for Android,63,11
123,"To submit a memory, please make sure to follow all the guidelines found on our FB post: https://t.co/ybxWTZWqW4
(2/2)",1248982180916854785,117,2020-04-11 14:32:11,Twitter Web App,5,3
124,"SHARE YOUR SPECIAL SMOKIES MOMENTS WITH US!

We would like to highlight some of your Great Smoky memories. What mom… https://t.co/4WTISNKz6j",1248982177980825605,140,2020-04-11 14:32:10,Twitter Web App,485,50
125,"Spring flowers are blooming, but not all belong in natural areas. Garlic mustard, originally from Europe, takes ove… https://t.co/wYibGh0Z6S",1248578997522399239,140,2020-04-10 11:50:05,Twitter Web App,196,32
126,Spending lots of time at home? Now is the time to go through your old photo albums and reminisce. Let’s see your fa… https://t.co/CdQdvzRhlJ,1248237171263275009,140,2020-04-09 13:11:47,Twitter Web App,202,14
127,"Did you know there are over 2,900 miles of streams running through Great Smoky Mountains National Park? Each stream… https://t.co/unUJo0gntI",1247935055982444547,140,2020-04-08 17:11:17,Twitter for iPhone,996,179
128,It's Trivia Tuesday! We rangers often get letters from students and sometimes they come with a Flat Stanley; we lov… https://t.co/EDWaVoBRtW,1247524927634169858,140,2020-04-07 14:01:35,Twitter Web App,101,10
129,We invite you to apply to our Artists-in-Residence program through April 15! While we aren't sure when the park wil… https://t.co/lsecnyJisD,1247229592454168576,140,2020-04-06 18:28:01,Twitter Web App,33,8
130,"Elk, the largest native mammal in the Smokies, can often be heard from early September to late October using a mati… https://t.co/VsIUebgKHw",1247162753590140928,140,2020-04-06 14:02:26,Twitter for Android,331,45
131,"Moving slowly now
We make new discoveries
Quietly we look

Whether it's grand views, or little gems like this snail… https://t.co/q7O820458n",1246754977701335040,140,2020-04-05 11:02:04,Twitter Web App,146,13
132,"I spy with my little eye something.... wild!
.
.
.
Photo by Allison Bate https://t.co/yTnBethYZ9",1246440060465152000,96,2020-04-04 14:10:42,Twitter Web App,286,31
133,"The Smokies are famous for the diversity of life found here, including the wildflowers. Take a few minutes to step… https://t.co/qSTyqepFzN",1246088039694295044,139,2020-04-03 14:51:54,Twitter Web App,501,69
134,@jason_frye Thank you!,1246081435833901056,22,2020-04-03 14:25:40,Twitter Web App,1,0
135,@jason_frye Hi Jason! We love your photo. May we use it as our cover photo?,1246078903531249664,75,2020-04-03 14:15:36,Twitter Web App,7,0
136,Thank you ALL for sharing your beautiful photos of the park!,1246078219595526145,60,2020-04-03 14:12:53,Twitter Web App,27,0
137,"@randomrumintn At this time, all trails in the park are closed. We ask that visitors abide by this to help us slow… https://t.co/Mtw7ba5oYi",1245707014266859520,139,2020-04-02 13:37:50,Twitter Web App,9,0
138,"All park areas, except the Foothills Parkway &amp; the Spur, are closed until further notice to help slow the spread of… https://t.co/bR9WmFK4xs",1245465380291850243,144,2020-04-01 21:37:40,Twitter Web App,138,54
139,Join the challenge of posting a picture you've taken in Great Smoky Mountains National Park! The requirement is tha… https://t.co/6TYUcHKJWe,1245011714908794880,140,2020-03-31 15:34:58,Twitter Web App,1343,200
140,@vonzolicious Thanks for your question. Refunds will be processed for those who have a permit for backcountry trave… https://t.co/ONsEf8TA6N,1242892659653513217,140,2020-03-25 19:14:36,Twitter for Android,0,0
141,"@thegreyranger Thanks for your question. The closure includes the AT in the park, but refunds will be processed for… https://t.co/vpazUIRTOZ",1242892382707875842,140,2020-03-25 19:13:30,Twitter for Android,0,0
142,"@larryvarney Thanks for your question, Larry. Yes, this includes US Hwy 441. All park roads are closed until April… https://t.co/BWyzrXBpRC",1242891574922686465,139,2020-03-25 19:10:17,Twitter for Android,0,0
143,"@MelissaLAlford1 @NuttyHiker Thank you for your question. All park trails, including the AT in the park, are closed until April 6.",1242890953008037893,130,2020-03-25 19:07:49,Twitter for Android,0,0
144,"All areas of Great Smoky Mountains National Park, excluding the Foothills Parkway and the Spur, will close today at… https://t.co/jXQx8bAq7o",1242473084982104064,140,2020-03-24 15:27:22,Twitter Web App,203,104
145,"Campgrounds, picnic areas, &amp; restrooms are closed effective Mon. Mar. 23 through Thur. Apr. 30. Visitor Centers rem… https://t.co/O8z6g4p7wr",1241721147412152320,144,2020-03-22 13:39:26,Twitter for iPhone,669,211
146,"Please be aware of the following operational changes to promote social distancing:
1) Reservations for group sites… https://t.co/2Rw15ts1LQ",1240798387018088450,139,2020-03-20 00:32:43,Twitter Web App,71,20
147,"It's week 3 of #WomensHistoryMonth, and we're featuring talented writer Wilma Dykeman. Check out our Facebook page… https://t.co/kymHL405BE",1240645608291160064,139,2020-03-19 14:25:37,Twitter Web App,60,9
148,"Be aware of park operational changes to promote social distancing:
1) Campgrounds fees must be paid online.
2) Chur… https://t.co/fHVELgQkvb",1240418349407928325,140,2020-03-18 23:22:35,Twitter Web App,160,47
149,"For staff &amp; visitor safety, Sugarlands, Oconaluftee, and Cades Cove Visitor Centers are closed until further notice… https://t.co/RzJiHhMfcQ",1239970611624960000,144,2020-03-17 17:43:26,Twitter Web App,109,32
150,"Not a bad place to take a break!⁣
⁣
#hiking in the Smokies can take you to some amazing places.⁣
⁣
What’s your go t… https://t.co/unwRg7D2WV",1239863842429116416,140,2020-03-17 10:39:10,Twitter for iPhone,493,60
151,"“In nature, nothing exists alone.” -- Rachel Carson 

Phenology, or the study of nature’s calendar, reveals the dee… https://t.co/Z3iA7bAk1f",1239577397940432900,140,2020-03-16 15:40:56,Twitter for Android,383,81
152,"With the temperature warming and bits of rain here and there, fungi of all shapes, sizes, and colors will be poppin… https://t.co/yNw9le5BHL",1238931268827598848,140,2020-03-14 20:53:27,Twitter Web App,197,25
153,"With only one week until the spring equinox, take some time to enjoy the longer, warmer days wherever you may be. F… https://t.co/0y759he1JT",1238531353928445953,140,2020-03-13 18:24:20,Twitter Web App,245,40
154,@SmokiesFriends The talented and awesome students pictured here were able to spend 6 weeks learning about all it ta… https://t.co/JYXS2qq6P8,1238530825353940995,140,2020-03-13 18:22:14,Twitter Web App,9,1
155,We're featuring Lydia Kear Whaley for week 2 of #WomensHistoryMonth! Check out our Facebook page today to learn mor… https://t.co/NCUQRzEoZo,1238110395576926213,140,2020-03-12 14:31:35,Twitter Web App,73,14
156,"Anyone up for a 2193-mile walk in the woods?⁣
⁣
This past weekend was the official kickoff, at Amicalola Falls Stat… https://t.co/gg55wUVKFZ",1237332179337859073,140,2020-03-10 10:59:14,Twitter for iPhone,400,54
157,"Is your weekend already a blur? We understand. To get your creative juices flowing this morning, why not dream of b… https://t.co/ZhoiCS9Lau",1237018681231708163,140,2020-03-09 14:13:30,Twitter for Android,86,8
158,Did you spring forward? It’s time to spring out of bed and enjoy the signs of new life and renewal in the Smokies.… https://t.co/08beQwW49j,1236644214286532609,139,2020-03-08 13:25:31,Twitter Web App,284,60
159,"""The first pleasant days of spring come out like a squirrel and go in again."" - Henry David Thoreau

After a chilly… https://t.co/ATDuHgZnRS",1236306640745435138,140,2020-03-07 15:04:07,Twitter Web App,142,16
160,"Even with cooler temperature this week, greenery is beginning to appear throughout the park, especially in lower el… https://t.co/4HAGGZafNG",1236036228505645057,140,2020-03-06 21:09:35,Twitter Web App,237,28
161,We're featuring an influential woman of the Smokies each week in March for #WomensHistoryMonth. Check out our Faceb… https://t.co/iTkwHdb6b1,1235583915580063746,140,2020-03-05 15:12:16,Twitter Web App,91,18
162,"“Walking: the most ancient exercise and still the best modern exercise.” -Carrie Latet-⁣
⁣
#hiking has been proven… https://t.co/GZ5ZkAKkTj",1234811659727843329,139,2020-03-03 12:03:36,Twitter for iPhone,393,49
163,"What do doughnuts, sandwiches, and thumbprint cookies have in common?

These can all have individual associations w… https://t.co/X0BvO1LeUk",1234496293139025922,140,2020-03-02 15:10:26,Twitter for Android,89,3
164,"Good morning! There are many beautiful places in the Smokies to see the sunrise!

When was a time you woke up super… https://t.co/vdOmRsMgVh",1233742005869719552,140,2020-02-29 13:13:10,Twitter Web App,520,49
165,"Even with the winter weather in the park, plants and animals are preparing for the spring to come. Take some time t… https://t.co/THHKIiI8nz",1233498532331638785,140,2020-02-28 21:05:42,Twitter Web App,286,38
166,"Today, high elevations are coated in a blanket of snow creating a winter wonderland. The snow creates hazardous roa… https://t.co/6CyIQV42Co",1233054755175501827,140,2020-02-27 15:42:17,Twitter Web App,333,61
167,PhD student Adam McNeil will be shifting his focus this summer from the African American Experience in the Smokies… https://t.co/fkJDwNsWRQ,1232332585994530817,139,2020-02-25 15:52:38,Twitter Web App,58,6
168,"“Another glorious day, the air as delicious to the lungs as nectar to the tongue.” -- John Muir

With increasingly… https://t.co/TL5jVYyZyn",1231958226054402048,139,2020-02-24 15:05:04,Twitter for Android,201,28
169,Don't forget! There is still time to post for the #WonderChallenge! Look for our previous post on 2/1/20 for more details.,1231224521975353344,122,2020-02-22 14:29:35,Twitter Web App,11,1
170,"As the snow and ice melt, look around for tiny signs of the coming spring! These myrtle/periwinkle and daffodil flo… https://t.co/O6FUwb57gA",1231224517734871041,140,2020-02-22 14:29:34,Twitter Web App,290,30
171,"With precipitation in the last day and freezing temperatures overnight, please be careful on roads and trails that… https://t.co/BSOoVQg6Hx",1230865679424905217,139,2020-02-21 14:43:41,Twitter Web App,323,46
172,"In this 1957 photo, Ranger Holt talks with visitors at a North Carolina overlook. Where's your favorite view in the… https://t.co/8ANTAsNwNn",1230500198394269698,140,2020-02-20 14:31:23,Twitter Web App,159,17
173,Our African American Experience in the Smokies project is facing some challenges: the African American members of t… https://t.co/PxN1gChq5p,1229797166455062530,140,2020-02-18 15:57:47,Twitter Web App,188,72
174,"Please remember that critters sometimes travel in groups, so watch carefully while driving around.* We cherish our… https://t.co/ZFf2wNgoAT",1229422841046687745,139,2020-02-17 15:10:21,Twitter for Android,102,18
175,"While exploring the Smokies today, don't forget to slow down and enjoy this gorgeous, sunny winter Saturday!

Video… https://t.co/CkvxRyj8ru",1228712078577487874,140,2020-02-15 16:06:02,Twitter Web App,1070,185
176,"Dreaming of brighter days on the trail! NPS Photo, 1975. #ThrowbackThursday https://t.co/J0Mt0UX6Q1",1227981808517730304,99,2020-02-13 15:44:12,Twitter Web App,123,13
177,"Mr. Thomas Lillard was born enslaved in McMinn https://t.co/sRxjbr6iy7. In 1864, he enlisted in the 1st Reg., US Co… https://t.co/9Jq6UMaAwZ",1227257228337569793,140,2020-02-11 15:44:59,Twitter Web App,87,11
178,Are you bummed out by another few days of forecasted rain? Allow yourself a moment to dream about spring wildflower… https://t.co/p8OqqIdqps,1226889163951235072,140,2020-02-10 15:22:25,Twitter for Android,133,17
179,"Happy snowy Saturday! Please be careful when driving in the Smokies today! 

Conditions change rapidly.
Road closur… https://t.co/qx4Vt99pIW",1226187130675830790,140,2020-02-08 16:52:48,Twitter Web App,300,39
180,"As these photos show, weather in the Smokies can be extreme and fast-changing! Yesterday, we saw heavy rain. Today… https://t.co/qSYeaQWcfe",1225822863070023685,139,2020-02-07 16:45:19,Twitter Web App,308,37
181,"Mondays can be tough, but we're feeling energized here in the Smokies by a beautiful, spring-like day. Wherever you… https://t.co/xvc5Dzg4y4",1224349452917452800,140,2020-02-03 15:10:31,Twitter for Android,481,87
182,"For more information on how to participate, please visit https://t.co/if1OND9LHA and https://t.co/Wn2VZw2Eaw or follow posts at @scioly2020",1223634101611237377,139,2020-02-01 15:47:58,Twitter Web App,3,0
183,"To participate, share photos you've taken or found of wildlife in your area or create a collage and tell us how tho… https://t.co/nK6p0qU70u",1223634100453593088,140,2020-02-01 15:47:58,Twitter Web App,8,2
184,This year the Great Smoky Mountains National Park is hosting the National Science Olympiad Feb2020 #WonderChallenge… https://t.co/Wm1IVbcFw0,1223634097538584576,140,2020-02-01 15:47:57,Twitter Web App,67,13
185,"The Smokies are famous for the many animals that live here, including the 240 species of birds spotted in the park.… https://t.co/9YPcm9pyUz",1223353802989981696,140,2020-01-31 21:14:10,Twitter Web App,162,24
186,Stopping for a photo at an entrance sign has long been a favorite tradition for visitors of Great Smoky Mountains N… https://t.co/HpV6Z0MQsf,1222935018349256705,140,2020-01-30 17:30:04,Twitter Web App,366,20
187,"As @DollyParton ’s neighbor park, we’re joining the #dollypartonchallenge!

Come see an elk that can do it all— fro… https://t.co/5HmwWX9JVQ",1222625490885922817,140,2020-01-29 21:00:06,Twitter for iPad,278,52
188,"If water could talk, what do you think it would tell us?

Winter sometimes offers us a chance to see our streams in… https://t.co/404zn5mnMj",1221813345839452160,140,2020-01-27 15:12:56,Twitter for Android,570,88
189,Happy Saturday! We sure are missing Tuesday's beautiful snow on this cloudy day. https://t.co/0clW4kAxCy,1221078209388859392,104,2020-01-25 14:31:46,Twitter Web App,409,52
190,"Yesterday, local media had the chance to take a tour &amp; see the progress being made during the Bote Mountain Tunnel… https://t.co/jgMS83RWE8",1220809014612766721,143,2020-01-24 20:42:05,Twitter Web App,217,25
191,Love the park? Want to give back? We have upcoming volunteer opportunities in Smokemont Campground and with our par… https://t.co/NOcjiRfCX9,1219724703595728896,140,2020-01-21 20:53:25,Twitter Web App,75,13
192,"In honor of Dr. Martin Luther King Jr. and his life, the annual MLK Memorial Parade in Knoxville celebrates Dr. Kin… https://t.co/MdAlTUzap1",1219315566445506562,140,2020-01-20 17:47:39,Twitter for Android,107,8
193,The Park's first chief naturalist Arthur Stupka greatly understood the value of this land that we still care for an… https://t.co/A0TJsdLMg4,1218534333566345216,140,2020-01-18 14:03:19,Twitter Web App,204,28
194,"With heavy rain recently in the Smokies, water levels may be high. While enjoy the beauty of park streams, keep in… https://t.co/WSRpcrdlOV",1218187700429295616,139,2020-01-17 15:05:55,Twitter Web App,270,33
195,"Lots of great guesses on our #ThrowbackThursday photo. If you guessed Elkmont Campground, you are correct!",1217886398130327554,106,2020-01-16 19:08:39,Twitter Web App,36,3
196,"It's been a while since we've played ""guess the location"" for #ThrowbackThursday! Who recognizes this bridge?

NPS… https://t.co/QLKyXhfAnY",1217828631659122688,139,2020-01-16 15:19:06,Twitter Web App,402,39
197,January is Family Fit Lifestyle Month! Have you been considering a family trip to one of your national parks in 202… https://t.co/cExujnydLm,1216737892057350144,140,2020-01-13 15:04:54,Twitter for Android,315,56
198,High winds and rain will affect the Smokies today. Please use extra caution in the park while driving and hiking.… https://t.co/jYR3bicaHD,1216040576581357568,138,2020-01-11 16:54:01,Twitter Web App,80,12
199,"On #NationalLawEnforcementAppreciationDay, we’d like to express extra gratitude for the law enforcement officials w… https://t.co/CiIN0I8IbD",1215348154712887296,140,2020-01-09 19:02:34,Twitter Web App,145,13
0,"Through capturing and tagging, wildlife biologists are able to keep track of a bear’s health, location, and habits.… https://t.co/Np43e3ano4",1275549194439155712,140,2020-06-23 22:00:01,TweetDeck,107,6
1,"@mantaleigh Upper Pines is only open at 50% capacity, so we're having to cancel half the reservations (we canceled… https://t.co/Y4IEaMclBx",1275295262051729413,139,2020-06-23 05:10:58,TweetDeck,1,0
2,@SFkcp These are released two days in advance promptly at 7 am Pacific time.,1275294315946729472,76,2020-06-23 05:07:13,TweetDeck,1,0
3,@ant_singer It'd be best to log on to https://t.co/6VRPCOEQae to check your reservation status.,1275294164192657408,95,2020-06-23 05:06:37,TweetDeck,0,0
4,@Esmegrubb There is! You can see it via webcam: https://t.co/shbA8VLVBt,1274884948852305920,71,2020-06-22 02:00:32,TweetDeck,0,0
5,@gustavize What community is your reservation in?,1274855496768344065,49,2020-06-22 00:03:30,TweetDeck,0,0
6,"What do you get when you cross a river and a stream? Wet! 

Happy father’s day to all fathers, grandfathers, father… https://t.co/8OwZg8UHm5",1274825604907454464,140,2020-06-21 22:04:43,TweetDeck,1296,169
7,"@geoyui No, you should apply 14 days in advance online: https://t.co/3KEmwNwpkM.",1274816290075496448,80,2020-06-21 21:27:43,TweetDeck,0,0
8,@Robynchenster We don't know yet when we'll know about August... sorry.,1274815998135119872,71,2020-06-21 21:26:33,TweetDeck,0,0
9,"@ChrisFromNewYo1 Yes, bike rentals are available at Yosemite Valley Lodge.",1274815900554649600,74,2020-06-21 21:26:10,TweetDeck,0,0
10,Haven’t got your reservation to visit Yosemite yet? 20% of the 1700 total day-use reservations available for each d… https://t.co/fyvQms7bx4,1274462026778042368,140,2020-06-20 22:00:00,TweetDeck,224,37
11,"@ChrisFromNewYo1 Yes, please visit https://t.co/aQRtH0hmKm",1274411183378857985,58,2020-06-20 18:37:58,TweetDeck,0,0
12,@abiluar Most restrooms are open (unless the facility they're associated with is closed). All trails are open excep… https://t.co/WJDjqH6yyE,1274095465525465088,140,2020-06-19 21:43:25,TweetDeck,0,0
13,@abiluar Your permit is only valid if you show up the first day.,1274032357054398464,64,2020-06-19 17:32:38,TweetDeck,0,0
14,"Coyotes are omnivores, which means they will eat almost anything! When we are careless with food, or illegally feed… https://t.co/xdyWU76fN6",1273752351644381184,140,2020-06-18 23:00:00,TweetDeck,1180,246
15,@Lindsay_Givens Those are the 20% that are released two days in advance (promptly at 7 am).,1273684206577520643,91,2020-06-18 18:29:13,TweetDeck,1,0
16,@hidejolsvay The trails will be closed all summer due to planned construction.,1273421672570253318,78,2020-06-18 01:06:00,TweetDeck,1,0
17,@mpape5 No news... any updates will appear at https://t.co/GtiXwLu8Nm,1273421572850634756,69,2020-06-18 01:05:36,TweetDeck,2,0
18,"“Rest is not idleness, and to lie sometimes on the grass under trees on a summer's day, listening to the murmur of… https://t.co/kyE320eGap",1273389964802134018,139,2020-06-17 23:00:00,TweetDeck,2283,600
19,@GooshCoop We don't know if or when additional campgrounds will open this season. Any updates will appear at https://t.co/GtiXwLu8Nm.,1273366867592097792,133,2020-06-17 21:28:13,TweetDeck,1,0
20,@meownatcatxo There are no more campground reservations available for August right now (other than cancellations).,1273366545595392000,114,2020-06-17 21:26:57,TweetDeck,1,0
21,"@GooshCoop No, other than any cancellations that show up.",1273366400778698752,57,2020-06-17 21:26:22,TweetDeck,1,0
22,@uTKingster You just need a reservation for your arrival date (and then that permit is also valid for the following six days).,1273320470113218560,126,2020-06-17 18:23:51,TweetDeck,0,0
23,"@dahveedm No more Upper Pines reservations will become available (other than cancellations, which show up immediately).",1273320261224259584,119,2020-06-17 18:23:02,TweetDeck,0,0
24,@dahveedm They'd show up on https://t.co/6VRPCOnfiG immediately... so keep checking...,1273139006147039232,86,2020-06-17 06:22:47,TweetDeck,0,0
25,"@esteladuran97 July 1, promptly at 7 am Pacific time.",1273071349506830336,53,2020-06-17 01:53:56,TweetDeck,3,2
26,@OneBagIt You just need one pass per car (includes all the people inside the car).,1273071163963346944,82,2020-06-17 01:53:12,TweetDeck,0,0
27,"@OneBagIt @ChrisFromNewYo1 You're pretty limited, especially this year, since there is no internal shuttle service right now.",1273070958304047104,125,2020-06-17 01:52:23,TweetDeck,0,0
28,"Yosemite has over 800 miles of trails that protect soil and vegetation. In areas with a lot of visitors, a designat… https://t.co/my70kFY62J",1273027578891325440,140,2020-06-16 23:00:01,TweetDeck,1104,164
29,@ChrisFromNewYo1 The Glacier Point Store and vault toilets are open.,1272776052373250048,68,2020-06-16 06:20:32,TweetDeck,0,0
30,"@OneBagIt You'd need a reservation for 6/26, the first day of your visit. That's then valid for seven days. Some re… https://t.co/hKp8aRo6Y4",1272775699795816449,140,2020-06-16 06:19:08,TweetDeck,0,0
31,@ChrisFromNewYo1 No shuttles are available in Yosemite this year.,1272775394110746624,65,2020-06-16 06:17:55,TweetDeck,0,0
32,@_daynamalik You can re-enter the park every day for all seven days (5 am to 11 pm) with the day-use permit.,1272775306223292416,108,2020-06-16 06:17:34,TweetDeck,2,0
33,"@javkarparesh Sorry, we don't know if or when additional campgrounds will open this season.",1272775105819467778,91,2020-06-16 06:16:46,TweetDeck,0,0
34,@blaura You should enter on the first day of the reservation.,1272774755897110528,61,2020-06-16 06:15:23,TweetDeck,1,0
35,@Lady_Veras_X The park is open; a reservation is required: https://t.co/BiKOZZfPyM,1272774262470803458,82,2020-06-16 06:13:25,TweetDeck,0,0
36,Images from Yosemite’s Archives showcase change over time; shifts in the natural world and cultural shifts related… https://t.co/f93ikgWEAp,1272687556065325056,139,2020-06-16 00:28:53,Twitter Web App,424,85
37,"@moshnightingale The ""day-use"" term primarily refers to the fact that you aren't spending the night in the park. Th… https://t.co/KQfWTteOM0",1272658739556782080,140,2020-06-15 22:34:23,Twitter Web App,0,0
38,@uTKingster We are open. Reservations (if not still available now) are available two days in advance beginning at 7… https://t.co/G0NOpbCKQU,1272414905140822016,140,2020-06-15 06:25:28,TweetDeck,0,0
39,"@moshnightingale Yes! Starting on the first day of the permit, you have seven consecutive days.",1272405785461415937,95,2020-06-15 05:49:14,TweetDeck,0,0
40,@62straydog The showers are only available to Curry Village overnight guests right now.,1272405614061219840,87,2020-06-15 05:48:33,TweetDeck,0,0
41,"This Sierra stonecrop is a succulent native to the Sierra Nevada. Without its vibrant yellow flowers, it’s easy to… https://t.co/rinrwFNfAO",1272302802593648641,139,2020-06-14 23:00:01,TweetDeck,929,153
42,@710heather Thanks for the update. We'll discuss with @TravelARAMARK (which operates the lodge).,1272273081755529217,96,2020-06-14 21:01:55,TweetDeck,0,0
43,@tracybneal Base Camp Cafe (Yosemite Valley Lodge) and the grill and Degnan's in Yosemite VIllage.,1272249781172101120,98,2020-06-14 19:29:19,TweetDeck,1,0
44,@710heather I'm sorry. What are you trying to cancel?,1272249515337150464,53,2020-06-14 19:28:16,TweetDeck,0,0
45,"The dangerous, unrelenting, and destructive forces of water carve out change in the landscape. Where have you found… https://t.co/km9Bra0xVS",1271938187435237376,140,2020-06-13 22:51:10,TweetDeck,2110,412
46,@tracybneal There are food trucks available at Curry Village while the main food facility is undergoing construction.,1271909102357078016,117,2020-06-13 20:55:35,TweetDeck,1,0
47,"@alyssa_chow Not sure when you'll hear about your wedding permit, but you can check in with the contact info you ha… https://t.co/asgUvvl9bV",1271644104728866816,140,2020-06-13 03:22:35,TweetDeck,1,0
